CSC,Description,Div,Dept,Class,Size,Retail Price,Item Status,On Spa,Vendor Name,Vendor Code,Division Name,Dept. Name,Class Name
901475,HVEN SUMMER SPIRIT              75 750ml,Y,YS,YSA,750,42.63,S,No,PREISS IMPORTS (200160),VC0000200160,GIFT & SPECIAL ORDER - Y,SPECIAL ORDERS,SPECIAL ORDERS - SPIRITS
901476,K VINTNERS KING COAL CAB/SYRAH     750ml,Y,YS,YSE,750,104.12,S,No,K VINTNERS/ CHARLES SMITH (001378),1378,GIFT & SPECIAL ORDER - Y,SPECIAL ORDERS,SPECIAL ORDERS - WINE
901477,POLIZIANO LE CAGGIOLE VINO NOB  750ml,Y,YS,YSE,750,104.9,S,No,UVE ENTERPRISES / DALLA TERRA (000041),41,GIFT & SPECIAL ORDER - Y,SPECIAL ORDERS,SPECIAL ORDERS - WINE
901478,SELVAPIANA VIGNETO ERCHI CHIANTI 16750ml,Y,YS,YSE,750,54.9,S,No,UVE ENTERPRISES / DALLA TERRA (000041),41,GIFT & SPECIAL ORDER - Y,SPECIAL ORDERS,SPECIAL ORDERS - WINE
901479,BADIA COLTIBOUNO MONTEBELLO  2018  750ml,Y,YS,YSE,750,66.99,S,No,UVE ENTERPRISES / DALLA TERRA (000041),41,GIFT & SPECIAL ORDER - Y,SPECIAL ORDERS,SPECIAL ORDERS - WINE
901480,SPANISH VALLEY LATE HRVST RSLNG   375 ml,E,EV,EVL,375,28.95,U,No,SPANISH VALLEY VINEYARDS & WINERY(001052),1052,"WINE - DESSERT, APERITIF, & LATE HARVEST",WINE - LATE HARVEST,"LATE HARVEST - RIESLING, BA, TBA, ICE"
901481,ROOSTERS COSMIC AUTUMN REBELLION  355 ml,Y,YS,YST,355,2.09,U,No,GENERAL DISTRIBUTION COMPANY(000348),348,GIFT & SPECIAL ORDER - Y,SPECIAL ORDERS,SPECIAL ORDERS - BEER
901482,MARCHESI DI GRESY MARTINENGA 2013  750ml,Y,YS,YSE,750,132.9,S,No,UVE ENTERPRISES / DALLA TERRA (000041),41,GIFT & SPECIAL ORDER - Y,SPECIAL ORDERS,SPECIAL ORDERS - WINE
901488,CASTLE CREEK CHENIN BLANC          750ml,K,KK,KKP,750,14.95,D,No,CASTLE CREEK WINERY LLC,4,WINE - WHITE TABLE,WHITE WINE - VARIETAL,WHITE VARIETAL - CHENIN BLANC
901489,CASTLE CREEK CHARDONNAY            750ml,K,KK,KKB,750,14.95,D,No,CASTLE CREEK WINERY LLC,4,WINE - WHITE TABLE,WHITE WINE - VARIETAL,WHITE VARIETAL - CHARDONNAY
901490,CASTLE CREEK PINOT NOIR            750ml,P,PL,PLR,750,9.6,D,No,CASTLE CREEK WINERY LLC,4,WINE - RED TABLE,RED WINE - VARIETAL,RED VARIETAL - PINOT NOIR
901491,CASTLE CREEK MERLOT                750ml,P,PL,PLF,750,16.0,D,No,CASTLE CREEK WINERY LLC,4,WINE - RED TABLE,RED WINE - VARIETAL,RED VARIETAL - MERLOT
901492,CASTLE CREEK CABERNET              750ml,P,PL,PLB,750,16.0,D,No,CASTLE CREEK WINERY LLC,4,WINE - RED TABLE,RED WINE - VARIETAL,RED VARIETAL - CABERNET
901493,DRIE FONTEINEN ARMOND GASTON HONEY 375ml,Y,YS,YST,375,18.23,S,No,GOLDEN BEVERAGE (000398),398,GIFT & SPECIAL ORDER - Y,SPECIAL ORDERS,SPECIAL ORDERS - BEER
901497,SPANISH VALLEY CABERNET            750ml,P,PL,PLB,750,28.95,1,No,SPANISH VALLEY VINEYARDS & WINERY(001052),1052,WINE - RED TABLE,RED WINE - VARIETAL,RED VARIETAL - CABERNET
901499,CASTLE CREEK LH GEWURZTRAMINER     375ml,K,KK,KKN,375,12.11,D,No,CASTLE CREEK WINERY LLC,4,WINE - WHITE TABLE,WHITE WINE - VARIETAL,WHITE VARIETAL - GEWURZTRAMINER
901503,LA CAILLE CABERNET SAUV NAPA       750ml,P,PL,PLB,750,56.0,S,No,LA CAILLE WINERY,743,WINE - RED TABLE,RED WINE - VARIETAL,RED VARIETAL - CABERNET
901504,LA CAILLE CABERNET KNIGHTS VALLEY  750ml,Y,YS,YSE,750,48.0,U,No,LA CAILLE WINERY,743,GIFT & SPECIAL ORDER - Y,SPECIAL ORDERS,SPECIAL ORDERS - WINE
901506,CASTLE CREEK LILLY ROSE WHITE      750ml,K,KF,KFP,750,15.0,D,No,CASTLE CREEK WINERY LLC,4,WINE - WHITE TABLE,WHITE WINE - GENERIC,WHITE GENERIC - TABLE & PROPRIETARY
901507,CASTLE CREEK OUTLAW RED            750ml,P,PF,PFP,750,9.99,D,No,CASTLE CREEK WINERY LLC,4,WINE - RED TABLE,RED TABLE - GENERIC,RED GENERIC - RED TABLE & PROPRIETARY
901513,RUBUS BAROSSA SHIRAZ               750ml,P,PR,PRY,750,12.99,D,No,KYSELA PERE ET FILS (000483),483,WINE - RED TABLE,RED WINE - IMPORTED,AUSTRALIAN RED
901516,JESTER KING BIRD BUMP      750ml,Y,YS,YST,750,14.0,U,No,"INDEPENDENT ALLIANCE, LLC (200344)",VC0000200344,GIFT & SPECIAL ORDER - Y,SPECIAL ORDERS,SPECIAL ORDERS - BEER
901517,CASTLE CREEK PETROGLYPH WHITE      750ml,K,KF,KFP,750,15.0,D,No,CASTLE CREEK WINERY LLC,4,WINE - WHITE TABLE,WHITE WINE - GENERIC,WHITE GENERIC - TABLE & PROPRIETARY
901518,CASTLE CREEK MONUMENT RED          750ml,P,PF,PFP,750,15.0,D,No,CASTLE CREEK WINERY LLC,4,WINE - RED TABLE,RED TABLE - GENERIC,RED GENERIC - RED TABLE & PROPRIETARY
901520,JESTER KING ACEROSE EFFLORESCENCE       ,Y,YS,YST,750,15.0,S,No,"INDEPENDENT ALLIANCE, LLC (200344)",VC0000200344,GIFT & SPECIAL ORDER - Y,SPECIAL ORDERS,SPECIAL ORDERS - BEER
901523,MIKES HARD LEMONADE                330ml,R,RC,RCP,330,2.08,D,No,CARLSON DISTRIBUTING COMPANY(000212),212,FLAVORED MALT BEVERAGES - R,FLAVORED MALT BEVERAGES - RC,FLAVORED MALT BEVERAGES
901524,MIKES HARD CRANBERRY LEMONADE      330ml,R,RC,RCP,330,2.19,1,No,CARLSON DISTRIBUTING COMPANY(000212),212,FLAVORED MALT BEVERAGES - R,FLAVORED MALT BEVERAGES - RC,FLAVORED MALT BEVERAGES
901525,MIKES HARD POMEGRANATE LEMONADE    330ml,R,RC,RCP,330,2.05,D,No,CARLSON DISTRIBUTING COMPANY(000212),212,FLAVORED MALT BEVERAGES - R,FLAVORED MALT BEVERAGES - RC,FLAVORED MALT BEVERAGES
901526,JESTER KING BUGFARM     750ml,Y,YS,YST,750,14.0,U,No,"INDEPENDENT ALLIANCE, LLC (200344)",VC0000200344,GIFT & SPECIAL ORDER - Y,SPECIAL ORDERS,SPECIAL ORDERS - BEER
901528,JESTER KING PETIT PRINCE        473ml,Y,YS,YST,473,4.0,U,No,"INDEPENDENT ALLIANCE, LLC (200344)",VC0000200344,GIFT & SPECIAL ORDER - Y,SPECIAL ORDERS,SPECIAL ORDERS - BEER
901529,WOODCHUCK DRAFT CIDER-AMBER        355ml,G,GL,GLC,355,2.49,S,No,GENERAL DISTRIBUTION COMPANY(000348),348,"WINE - FRUIT, CIDER, AND SAKE",CIDER,CIDER - BASIC
901530,WOODCHUCK DRAFT CIDER-GRANNY S     355ml,G,GL,GLC,355,2.49,S,No,GENERAL DISTRIBUTION COMPANY(000348),348,"WINE - FRUIT, CIDER, AND SAKE",CIDER,CIDER - BASIC
901533,JESTER KING URBAN MUTATION   750ml,Y,YS,YST,750,14.0,U,No,"INDEPENDENT ALLIANCE, LLC (200344)",VC0000200344,GIFT & SPECIAL ORDER - Y,SPECIAL ORDERS,SPECIAL ORDERS - BEER
901544,PARROT BAY MOJITO                  330ml,R,RC,RCP,330,2.05,D,No,CARLSON DISTRIBUTING COMPANY(000212),212,FLAVORED MALT BEVERAGES - R,FLAVORED MALT BEVERAGES - RC,FLAVORED MALT BEVERAGES
901548,JESTER KING LA VIE EN ROSE           473,Y,YS,YST,473,4.5,U,No,"INDEPENDENT ALLIANCE, LLC (200344)",VC0000200344,GIFT & SPECIAL ORDER - Y,SPECIAL ORDERS,SPECIAL ORDERS - BEER
901549,JESTER KING NOBLE KING             750ml,Y,YS,YST,750,13.0,U,No,"INDEPENDENT ALLIANCE, LLC (200344)",VC0000200344,GIFT & SPECIAL ORDER - Y,SPECIAL ORDERS,SPECIAL ORDERS - BEER
901553,CASCADE BREWING APRICOT 2016       750ml,Y,YS,YST,750,13.04,U,No,GOLDEN BEVERAGE (000398),398,GIFT & SPECIAL ORDER - Y,SPECIAL ORDERS,SPECIAL ORDERS - BEER
901554,MIKES CLASSIC MARGARITA PEACH      330ml,R,RC,RCP,330,2.05,D,No,CARLSON DISTRIBUTING COMPANY(000212),212,FLAVORED MALT BEVERAGES - R,FLAVORED MALT BEVERAGES - RC,FLAVORED MALT BEVERAGES
901555,CASCADE BREWING BRUNCH LINE        500ml,Y,YS,YST,500,13.46,U,No,GOLDEN BEVERAGE (000398),398,GIFT & SPECIAL ORDER - Y,SPECIAL ORDERS,SPECIAL ORDERS - BEER
901557,CASCADE BREWING VERNAL EQUINOX    355 ml,Y,YS,YST,355,4.99,S,No,GOLDEN BEVERAGE (000398),398,GIFT & SPECIAL ORDER - Y,SPECIAL ORDERS,SPECIAL ORDERS - BEER
901559,MIKES CLASSIC MARGARITA LIME       330ml,R,RC,RCP,330,2.15,D,No,CARLSON DISTRIBUTING COMPANY(000212),212,FLAVORED MALT BEVERAGES - R,FLAVORED MALT BEVERAGES - RC,FLAVORED MALT BEVERAGES
901564,CASCADE BREWING INDIGO TWILIGHT   355 ml,Y,YS,YST,355,4.99,U,No,GOLDEN BEVERAGE (000398),398,GIFT & SPECIAL ORDER - Y,SPECIAL ORDERS,SPECIAL ORDERS - BEER
901565,MIKES HARD BLACK CHERRY LEMONA     330ml,R,RC,RCP,330,2.08,D,No,CARLSON DISTRIBUTING COMPANY(000212),212,FLAVORED MALT BEVERAGES - R,FLAVORED MALT BEVERAGES - RC,FLAVORED MALT BEVERAGES
901573,HIVE BLACK CURRANT WINE            750ml,G,GF,GFE,750,13.95,1,Yes,HIVE WINERY INC.(001854),1854,"WINE - FRUIT, CIDER, AND SAKE",WINE - FRUIT & FLAVORED,WINE - FRUIT
901574,MIKES HARD RASPBERRY LEMONADE      330ml,R,RC,RCP,330,2.19,1,No,CARLSON DISTRIBUTING COMPANY(000212),212,FLAVORED MALT BEVERAGES - R,FLAVORED MALT BEVERAGES - RC,FLAVORED MALT BEVERAGES
901576,HIVE PEAR HARD CIDER              650 ml,Y,YS,YSE,650,8.95,U,No,HIVE WINERY INC.(001854),1854,GIFT & SPECIAL ORDER - Y,SPECIAL ORDERS,SPECIAL ORDERS - WINE
901577,HIVE BLACK CURRANT VINTNERS SE     750ml,Y,YS,YSE,750,23.95,S,No,HIVE WINERY INC.(001854),1854,GIFT & SPECIAL ORDER - Y,SPECIAL ORDERS,SPECIAL ORDERS - WINE
901578,HIVE BLACK CURRANT VINTNER SEL     375ml,Y,YS,YSE,375,16.95,S,No,HIVE WINERY INC.(001854),1854,GIFT & SPECIAL ORDER - Y,SPECIAL ORDERS,SPECIAL ORDERS - WINE
901579,HIVE ZION CURTAIN RASPBERRY WINE   750ml,G,GF,GFE,750,18.95,1,No,HIVE WINERY INC.(001854),1854,"WINE - FRUIT, CIDER, AND SAKE",WINE - FRUIT & FLAVORED,WINE - FRUIT
901581,HIVE POMEGRANATE WINE              750ml,Y,YS,YSE,750,23.95,S,No,HIVE WINERY INC.(001854),1854,GIFT & SPECIAL ORDER - Y,SPECIAL ORDERS,SPECIAL ORDERS - WINE
901582,HIVE POMEGRANATE WINE              375ml,Y,YS,YSE,375,16.95,S,No,HIVE WINERY INC.(001854),1854,GIFT & SPECIAL ORDER - Y,SPECIAL ORDERS,SPECIAL ORDERS - WINE
901583,HIVE STRAWBERRY WINE               750ml,G,GF,GFE,750,17.95,S,No,HIVE WINERY INC.(001854),1854,"WINE - FRUIT, CIDER, AND SAKE",WINE - FRUIT & FLAVORED,WINE - FRUIT
901585,HIVE PEACH LIQUID SUNSHINE         750ml,G,GF,GFE,750,14.95,1,No,HIVE WINERY INC.(001854),1854,"WINE - FRUIT, CIDER, AND SAKE",WINE - FRUIT & FLAVORED,WINE - FRUIT
901587,HIVE RASPBERRY PEACH WINE          750ml,G,GF,GFE,750,17.95,1,No,HIVE WINERY INC.(001854),1854,"WINE - FRUIT, CIDER, AND SAKE",WINE - FRUIT & FLAVORED,WINE - FRUIT
901589,HIVE RASPBERRY HONEY WINE          750ml,Y,YS,YSE,750,29.95,S,No,HIVE WINERY INC.(001854),1854,GIFT & SPECIAL ORDER - Y,SPECIAL ORDERS,SPECIAL ORDERS - WINE
901591,HIVE RASPBERRY HONEY WINE          375ml,Y,YS,YSE,375,19.95,S,No,HIVE WINERY INC.(001854),1854,GIFT & SPECIAL ORDER - Y,SPECIAL ORDERS,SPECIAL ORDERS - WINE
901592,HIVE BLACK CURRANT HONEY WINE      750ml,Y,YS,YSE,750,27.95,S,No,HIVE WINERY INC.(001854),1854,GIFT & SPECIAL ORDER - Y,SPECIAL ORDERS,SPECIAL ORDERS - WINE
901593,HIVE BLACK CURRANT HONEY WINE      375ml,Y,YS,YSE,375,18.95,S,No,HIVE WINERY INC.(001854),1854,GIFT & SPECIAL ORDER - Y,SPECIAL ORDERS,SPECIAL ORDERS - WINE
901594,HIVE BLACKBERRY WINE               750ml,Y,YS,YSE,750,23.95,S,No,HIVE WINERY INC.(001854),1854,GIFT & SPECIAL ORDER - Y,SPECIAL ORDERS,SPECIAL ORDERS - WINE
901595,HIVE BLACKBERRY WINE               375ml,Y,YS,YSE,375,16.95,S,No,HIVE WINERY INC.(001854),1854,GIFT & SPECIAL ORDER - Y,SPECIAL ORDERS,SPECIAL ORDERS - WINE
901596,HIVE BLUEBERRY WINE                750ml,Y,YS,YSE,750,23.95,S,No,HIVE WINERY INC.(001854),1854,GIFT & SPECIAL ORDER - Y,SPECIAL ORDERS,SPECIAL ORDERS - WINE
901597,HIVE BLUEBERRY WINE                375ml,Y,YS,YSE,375,16.95,S,No,HIVE WINERY INC.(001854),1854,GIFT & SPECIAL ORDER - Y,SPECIAL ORDERS,SPECIAL ORDERS - WINE
901598,HIVE CRANBERRY WINE                750ml,Y,YS,YSE,750,23.95,S,No,HIVE WINERY INC.(001854),1854,GIFT & SPECIAL ORDER - Y,SPECIAL ORDERS,SPECIAL ORDERS - WINE
901599,HIVE CRANBERRY WINE                375ml,Y,YS,YSE,375,16.95,S,No,HIVE WINERY INC.(001854),1854,GIFT & SPECIAL ORDER - Y,SPECIAL ORDERS,SPECIAL ORDERS - WINE
901601,HIGH WEST 12 YEAR RYE WHISKEY      375ml,Y,YS,YSA,375,50.53,U,No,HIGH WEST DISTILLERY(001556),1556,GIFT & SPECIAL ORDER - Y,SPECIAL ORDERS,SPECIAL ORDERS - SPIRITS
901602,MIKES HARD SEASONAL                330ml,R,RC,RCP,330,2.19,1,No,CARLSON DISTRIBUTING COMPANY(000212),212,FLAVORED MALT BEVERAGES - R,FLAVORED MALT BEVERAGES - RC,FLAVORED MALT BEVERAGES
901603,HIVE APRICOT WINE                  750ml,Y,YS,YSE,750,18.95,S,No,HIVE WINERY INC.(001854),1854,GIFT & SPECIAL ORDER - Y,SPECIAL ORDERS,SPECIAL ORDERS - WINE
901604,HIVE APRICOT WINE                  375ml,Y,YS,YSE,375,14.95,S,No,HIVE WINERY INC.(001854),1854,GIFT & SPECIAL ORDER - Y,SPECIAL ORDERS,SPECIAL ORDERS - WINE
901607,HIVE BISHOPS DAUGHTER PIE CHERRY   750ml,Y,YS,YSE,750,18.95,S,No,HIVE WINERY INC.(001854),1854,GIFT & SPECIAL ORDER - Y,SPECIAL ORDERS,SPECIAL ORDERS - WINE
901608,HIVE BISHOPS DAUGHTER PIE CHERRY   375ml,Y,YS,YSE,375,14.95,S,No,HIVE WINERY INC.(001854),1854,GIFT & SPECIAL ORDER - Y,SPECIAL ORDERS,SPECIAL ORDERS - WINE
901609,HIVE PINEAPPLE WINE                750ml,Y,YS,YSE,750,23.95,S,No,HIVE WINERY INC.(001854),1854,GIFT & SPECIAL ORDER - Y,SPECIAL ORDERS,SPECIAL ORDERS - WINE
901610,HIVE PINEAPPLE WINE                375ml,Y,YS,YSE,375,16.95,S,No,HIVE WINERY INC.(001854),1854,GIFT & SPECIAL ORDER - Y,SPECIAL ORDERS,SPECIAL ORDERS - WINE
901615,HIVE MISSIONARY BLOOD CHERRY HONEY WI 37,Y,YS,YSE,375,17.95,S,No,HIVE WINERY INC.(001854),1854,GIFT & SPECIAL ORDER - Y,SPECIAL ORDERS,SPECIAL ORDERS - WINE
901616,HIVE MISSIONARY BLOOD CHERRY HONEY WIN 7,Y,YS,YSE,750,24.95,S,No,HIVE WINERY INC.(001854),1854,GIFT & SPECIAL ORDER - Y,SPECIAL ORDERS,SPECIAL ORDERS - WINE
901617,HIVE APRICOT PINEAPPLE WINE        750ml,Y,YS,YSE,750,23.95,S,No,HIVE WINERY INC.(001854),1854,GIFT & SPECIAL ORDER - Y,SPECIAL ORDERS,SPECIAL ORDERS - WINE
901619,HIVE APRICOT HONEY WINE            375ml,Y,YS,YSE,375,17.95,S,No,HIVE WINERY INC.(001854),1854,GIFT & SPECIAL ORDER - Y,SPECIAL ORDERS,SPECIAL ORDERS - WINE
901622,HIVE SPRING MEAD                   750ml,Y,YS,YSE,750,18.95,S,No,HIVE WINERY INC.(001854),1854,GIFT & SPECIAL ORDER - Y,SPECIAL ORDERS,SPECIAL ORDERS - WINE
901623,HIVE SPRING MEAD                   375ml,Y,YS,YSE,375,13.95,S,No,HIVE WINERY INC.(001854),1854,GIFT & SPECIAL ORDER - Y,SPECIAL ORDERS,SPECIAL ORDERS - WINE
901624,HIVE SUMMER MEAD                   750ml,G,GF,GFE,750,18.95,1,No,HIVE WINERY INC.(001854),1854,"WINE - FRUIT, CIDER, AND SAKE",WINE - FRUIT & FLAVORED,WINE - FRUIT
901625,HIVE SUMMER MEAD                   375ml,Y,YS,YSE,375,13.95,S,No,HIVE WINERY INC.(001854),1854,GIFT & SPECIAL ORDER - Y,SPECIAL ORDERS,SPECIAL ORDERS - WINE
901626,HIVE FALL MEAD                     750ml,Y,YS,YSE,750,18.95,S,No,HIVE WINERY INC.(001854),1854,GIFT & SPECIAL ORDER - Y,SPECIAL ORDERS,SPECIAL ORDERS - WINE
901627,HIVE FALL MEAD                     375ml,Y,YS,YSE,375,13.95,S,No,HIVE WINERY INC.(001854),1854,GIFT & SPECIAL ORDER - Y,SPECIAL ORDERS,SPECIAL ORDERS - WINE
901630,HIVE SISTERWIVES BING CHERRY WINE  750ml,Y,YS,YSE,750,22.95,S,No,HIVE WINERY INC.(001854),1854,GIFT & SPECIAL ORDER - Y,SPECIAL ORDERS,SPECIAL ORDERS - WINE
901631,HIVE SISTERWIVES BING CHERRY WINE  375ml,Y,YS,YSE,375,15.95,S,No,HIVE WINERY INC.(001854),1854,GIFT & SPECIAL ORDER - Y,SPECIAL ORDERS,SPECIAL ORDERS - WINE
901632,HIVE APRICOT HONEY WINE            750ml,Y,YS,YSE,750,25.95,S,No,HIVE WINERY INC.(001854),1854,GIFT & SPECIAL ORDER - Y,SPECIAL ORDERS,SPECIAL ORDERS - WINE
901636,CASCADE BREWING NOYAUX             750ml,Y,YS,YST,750,12.99,U,No,GOLDEN BEVERAGE (000398),398,GIFT & SPECIAL ORDER - Y,SPECIAL ORDERS,SPECIAL ORDERS - BEER
901637,ANGRY ORCHARD CRISP APPLE HRD CDR 355 ml,G,GL,GLC,355,2.55,1,No,CARLSON DISTRIBUTING COMPANY(000212),212,"WINE - FRUIT, CIDER, AND SAKE",CIDER,CIDER - BASIC
901638,HIVE CITRUS BLOSSOM MEAD VINTNER S 375ml,Y,YS,YSE,375,15.95,S,No,HIVE WINERY INC.(001854),1854,GIFT & SPECIAL ORDER - Y,SPECIAL ORDERS,SPECIAL ORDERS - WINE
901639,HIVE CITRUS BLOSSOM MEAD VINTNER S 750ml,Y,YS,YSE,750,22.95,S,No,HIVE WINERY INC.(001854),1854,GIFT & SPECIAL ORDER - Y,SPECIAL ORDERS,SPECIAL ORDERS - WINE
901640,HIVE PEACH COBBLER WINE            375ml,Y,YS,YSE,375,14.95,S,No,HIVE WINERY INC.(001854),1854,GIFT & SPECIAL ORDER - Y,SPECIAL ORDERS,SPECIAL ORDERS - WINE
901641,HIVE PEACH COBBLER WINE            750ml,Y,YS,YSE,750,19.95,S,No,HIVE WINERY INC.(001854),1854,GIFT & SPECIAL ORDER - Y,SPECIAL ORDERS,SPECIAL ORDERS - WINE
901642,HIVE PEAR WINE                     375ml,Y,YS,YSE,375,14.95,S,No,HIVE WINERY INC.(001854),1854,GIFT & SPECIAL ORDER - Y,SPECIAL ORDERS,SPECIAL ORDERS - WINE
901643,HIVE PEAR WINE                     750ml,Y,YS,YSE,750,20.95,S,No,HIVE WINERY INC.(001854),1854,GIFT & SPECIAL ORDER - Y,SPECIAL ORDERS,SPECIAL ORDERS - WINE
901644,HIVE RHUBARB WINE                       ,Y,YS,YSE,375,16.95,S,No,HIVE WINERY INC.(001854),1854,GIFT & SPECIAL ORDER - Y,SPECIAL ORDERS,SPECIAL ORDERS - WINE
